Ticket_id,Team_1,Team_2,Venue,Stage,Importance,Seat_Type,Days_until_match,Base_Price,Tickets_Sold,Year,Seat_Multiplier,Base_Price_Base,Importance_Factor,Days_Factor,Sales_Factor,Base_Price_Reconstructed,Importance_Num,Stage_Num,Venue_Num,Team1_Num,Team2_Num,Importance_Impact,Final_Price
1,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,3,259,0.48,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,1,28,12,777.0,310.8
2,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,5,259,0.42,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,1,28,12,777.0,310.8
3,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Bronze,7,259,0.42,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,1,28,12,777.0,310.8
4,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,3,619,0.3,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,1,28,12,928.5,371.4
5,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,5,619,0.4,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,1,28,12,928.5,371.4
6,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Gold,7,619,0.36,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,1,28,12,928.5,371.4
7,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,3,825,0.31,2022,3.0,275.0,0.0,0.2,0.1,,2,1,1,28,12,825.0,330.0
8,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,5,825,0.31,2022,3.0,275.0,0.0,0.1,0.1,,2,1,1,28,12,825.0,330.0
9,Qatar,Ecuador,Al Bayt Stadium,Group Stage,low,Diamond,7,825,0.23,2022,3.0,275.0,0.0,0.0,0.1,,2,1,1,28,12,825.0,330.0
10,England,Iran,Khalifa International,Group Stage,low,Bronze,3,259,0.27,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,5,12,20,777.0,310.8
11,England,Iran,Khalifa International,Group Stage,low,Bronze,5,259,0.34,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,5,12,20,777.0,310.8
12,England,Iran,Khalifa International,Group Stage,low,Bronze,7,259,0.46,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,5,12,20,777.0,310.8
13,England,Iran,Khalifa International,Group Stage,low,Gold,3,619,0.33,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,5,12,20,928.5,371.4
14,England,Iran,Khalifa International,Group Stage,low,Gold,5,619,0.47,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,5,12,20,928.5,371.4
15,England,Iran,Khalifa International,Group Stage,low,Gold,7,619,0.29,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,5,12,20,928.5,371.4
16,England,Iran,Khalifa International,Group Stage,low,Diamond,3,825,0.49,2022,3.0,275.0,0.0,0.2,0.1,,2,1,5,12,20,825.0,330.0
17,England,Iran,Khalifa International,Group Stage,low,Diamond,5,825,0.25,2022,3.0,275.0,0.0,0.1,0.1,,2,1,5,12,20,825.0,330.0
18,England,Iran,Khalifa International,Group Stage,low,Diamond,7,825,0.49,2022,3.0,275.0,0.0,0.0,0.1,,2,1,5,12,20,825.0,330.0
19,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,3,259,0.47,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,3,31,24,777.0,310.8
20,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,5,259,0.32,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,3,31,24,777.0,310.8
21,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Bronze,7,259,0.42,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,3,31,24,777.0,310.8
22,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,3,619,0.27,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,3,31,24,928.5,371.4
23,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,5,619,0.22,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,3,31,24,928.5,371.4
24,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Gold,7,619,0.28,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,3,31,24,928.5,371.4
25,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,3,825,0.42,2022,3.0,275.0,0.0,0.2,0.1,,2,1,3,31,24,825.0,330.0
26,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,5,825,0.41,2022,3.0,275.0,0.0,0.1,0.1,,2,1,3,31,24,825.0,330.0
27,Senegal,Netherlands,Al Thumama Stadium,Group Stage,low,Diamond,7,825,0.47,2022,3.0,275.0,0.0,0.0,0.1,,2,1,3,31,24,825.0,330.0
28,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,3,259,0.4,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,0,38,43,777.0,310.8
29,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,5,259,0.2,2022,1.0,259.0,0.0,0.1,0.0,284.90000000000003,2,1,0,38,43,777.0,310.8
30,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Bronze,7,259,0.24,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,0,38,43,777.0,310.8
31,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,3,619,0.27,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,0,38,43,928.5,371.4
32,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,5,619,0.46,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,0,38,43,928.5,371.4
33,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Gold,7,619,0.47,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,0,38,43,928.5,371.4
34,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,3,825,0.34,2022,3.0,275.0,0.0,0.2,0.1,,2,1,0,38,43,825.0,330.0
35,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,5,825,0.38,2022,3.0,275.0,0.0,0.1,0.1,,2,1,0,38,43,825.0,330.0
36,USA,Wales,Ahmad Bin Ali Stadium,Group Stage,low,Diamond,7,825,0.22,2022,3.0,275.0,0.0,0.0,0.1,,2,1,0,38,43,825.0,330.0
37,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,3,259,0.21,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,6,0,32,777.0,310.8
38,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,5,259,0.42,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,6,0,32,777.0,310.8
39,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Bronze,7,259,0.45,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,6,0,32,777.0,310.8
40,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,3,619,0.25,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,6,0,32,928.5,371.4
41,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,5,619,0.42,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,6,0,32,928.5,371.4
42,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Gold,7,619,0.3,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,6,0,32,928.5,371.4
43,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,3,825,0.38,2022,3.0,275.0,0.0,0.2,0.1,,2,1,6,0,32,825.0,330.0
44,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,5,825,0.21,2022,3.0,275.0,0.0,0.1,0.1,,2,1,6,0,32,825.0,330.0
45,Argentina,Saudi Arabia,Lusail Stadium,Group Stage,low,Diamond,7,825,0.29,2022,3.0,275.0,0.0,0.0,0.1,,2,1,6,0,32,825.0,330.0
46,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,3,259,0.44,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,4,9,40,777.0,310.8
47,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,5,259,0.22,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,4,9,40,777.0,310.8
48,Denmark,Tunisia,Education City Stadium,Group Stage,low,Bronze,7,259,0.3,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,4,9,40,777.0,310.8
49,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,3,619,0.34,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,4,9,40,928.5,371.4
50,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,5,619,0.38,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,4,9,40,928.5,371.4
51,Denmark,Tunisia,Education City Stadium,Group Stage,low,Gold,7,619,0.27,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,4,9,40,928.5,371.4
52,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,3,825,0.38,2022,3.0,275.0,0.0,0.2,0.1,,2,1,4,9,40,825.0,330.0
53,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,5,825,0.24,2022,3.0,275.0,0.0,0.1,0.1,,2,1,4,9,40,825.0,330.0
54,Denmark,Tunisia,Education City Stadium,Group Stage,low,Diamond,7,825,0.4,2022,3.0,275.0,0.0,0.0,0.1,,2,1,4,9,40,825.0,330.0
55,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,3,259,0.2,2022,1.0,259.0,0.0,0.2,0.0,310.8,2,1,7,19,28,777.0,310.8
56,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,5,259,0.49,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,7,19,28,777.0,310.8
57,Mexico,Poland,Stadium 974,Group Stage,low,Bronze,7,259,0.44,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,7,19,28,777.0,310.8
58,Mexico,Poland,Stadium 974,Group Stage,low,Gold,3,619,0.41,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,7,19,28,928.5,371.4
59,Mexico,Poland,Stadium 974,Group Stage,low,Gold,5,619,0.43,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,7,19,28,928.5,371.4
60,Mexico,Poland,Stadium 974,Group Stage,low,Gold,7,619,0.34,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,7,19,28,928.5,371.4
61,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,3,825,0.49,2022,3.0,275.0,0.0,0.2,0.1,,2,1,7,19,28,825.0,330.0
62,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,5,825,0.23,2022,3.0,275.0,0.0,0.1,0.1,,2,1,7,19,28,825.0,330.0
63,Mexico,Poland,Stadium 974,Group Stage,low,Diamond,7,825,0.24,2022,3.0,275.0,0.0,0.0,0.1,,2,1,7,19,28,825.0,330.0
64,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,3,259,0.36,2022,1.0,259.0,0.0,0.2,0.1,336.7,2,1,2,13,2,777.0,310.8
65,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,5,259,0.46,2022,1.0,259.0,0.0,0.1,0.1,310.80000000000007,2,1,2,13,2,777.0,310.8
66,France,Australia,Al Janoub Stadium,Group Stage,low,Bronze,7,259,0.26,2022,1.0,259.0,0.0,0.0,0.1,284.90000000000003,2,1,2,13,2,777.0,310.8
67,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,3,619,0.24,2022,2.0,309.5,0.0,0.2,0.1,402.35,2,1,2,13,2,928.5,371.4
68,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,5,619,0.24,2022,2.0,309.5,0.0,0.1,0.1,371.4,2,1,2,13,2,928.5,371.4
69,France,Australia,Al Janoub Stadium,Group Stage,low,Gold,7,619,0.23,2022,2.0,309.5,0.0,0.0,0.1,340.45000000000005,2,1,2,13,2,928.5,371.4
